LEAID	PCT_BACH	PCT_ADVC	P_EX_1_5	P_EX6_10	P_EX1120	P_EX2130	P_EXGT30	M_EXP	MBSAL1_5	MBSAL610	MBSA1120	MBSA2130	MBSAGT30	M_BSAL
0511010	-1.0	-1.0	22.6	20.3	21.8	25.6	9.8	15	34473	38183	42624	45118	45923	40844
0511070	-1.0	-1.0	19.3	33.3	35.1	7.0	5.3	12	32905	35916	39953	41925	36400	37198
0511220	-1.0	-1.0	22.4	20.4	32.7	20.4	-1.0	13	31861	33363	36088	38139	-1	35024
0511340	-1.0	-1.0	18.8	25.0	21.9	26.6	7.8	15	30847	33690	38323	41929	42005	37009
0511370	49.2	50.8	24.6	10.1	24.6	30.4	10.1	17	32376	35735	39319	41673	43151	38350
0511610	37.1	62.9	13.1	16.4	28.7	30.3	11.5	18	32655	36267	40603	42955	44119	39967
0511700	-1.0	-1.0	27.4	18.9	29.5	16.8	7.4	13	32894	35758	40582	45800	46368	38869
0511730	-1.0	-1.0	13.9	30.6	30.6	19.4	-1.0	14	32200	36936	39573	45157	-1	39283
0511760	59.1	40.9	32.7	23.5	24.5	13.3	6.1	12	35929	38057	40979	45863	48288	39740
0511820	-1.0	-1.0	20.8	18.2	33.8	22.1	5.2	15	29554	32512	36412	38806	38985	34940
0511850	50.9	49.1	23.1	18.5	21.7	25.5	11.2	16	31867	37669	48357	53111	54623	44487
0511880	-1.0	-1.0	15.0	22.5	30.0	17.5	15.0	16	29102	31882	34836	38210	39723	34635
0511970	59.5	40.5	21.5	20.5	33.5	18.9	5.7	14	40062	43875	49940	56590	58799	48335
0512000	51.0	49.0	17.9	17.9	41.1	17.9	5.4	14	30430	34885	39115	40825	38350	37073
0512060	-1.0	-1.0	22.0	16.9	28.2	22.3	10.5	15	33743	36475	41250	47474	52233	41324
0512090	60.5	39.5	24.1	9.3	50.0	11.1	5.6	13	30923	35400	39648	41667	40333	37417
0512180	-1.0	-1.0	22.6	22.6	16.1	29.0	9.7	16	29496	32282	36900	37619	39800	34675
0512210	39.1	60.9	15.7	12.4	39.2	25.3	7.4	16	35079	38099	42572	48498	51103	42973
0512420	48.6	51.4	41.5	12.2	31.7	12.2	-1.0	12	31998	31535	37548	42614	-1	35266
0512450	-1.0	-1.0	28.0	20.9	24.2	21.8	5.2	13	36775	39296	43797	48119	48634	42089
0512480	81.3	18.8	13.9	11.1	52.8	13.9	8.3	15	29055	32741	36455	41070	43127	36212
0512510	83.6	16.4	24.3	18.6	28.6	24.3	4.3	14	29691	32579	35884	38169	38983	34454
0512520	59.6	39.7	26.5	14.7	25.9	27.6	5.3	15	31706	33567	40215	43212	41881	37902
0512540	-1.0	-1.0	43.0	19.0	28.0	10.0	0.0	9	33772	37492	41837	41913	-2	37551
0512570	-1.0	-1.0	26.8	19.5	19.5	22.0	12.2	14	29661	30978	36525	37325	39600	34152
0512630	-1.0	-1.0	13.2	21.1	47.4	13.2	-1.0	14	29565	32364	36461	41701	-1	35700
0512660	44.3	55.7	30.4	20.4	25.8	18.5	4.8	13	44071	47379	51992	59369	64335	50603
0512870	61.3	38.7	24.3	8.1	35.1	18.9	13.5	17	29719	32308	35885	36339	34250	33960
0512930	-1.0	-1.0	15.7	25.5	35.3	19.6	-1.0	15	30778	33455	37060	37018	-1	35289
0512960	72.9	27.1	21.9	21.9	21.1	21.1	14.1	16	31591	34143	37570	39338	39973	36223
0513080	61.9	38.1	18.7	24.7	28.3	18.7	9.6	15	32888	35727	39542	44780	48463	39192
0513110	-1.0	-1.0	21.0	11.9	23.6	30.7	12.8	18	32240	34235	38562	41587	42357	38130
0513230	-1.0	-1.0	35.3	19.1	22.1	20.6	-1.0	12	30049	33173	36917	39696	-1	34367
