LEAID	PCT_BACH	PCT_ADVC	P_EX_1_5	P_EX6_10	P_EX1120	P_EX2130	P_EXGT30	M_EXP	MBSAL1_5	MBSAL610	MBSA1120	MBSA2130	MBSAGT30	M_BSAL
1926820	74.2	25.1	27.9	19.1	24.0	20.1	8.8	14	37806	44329	52284	54969	56218	47613
1926850	90.9	9.1	27.3	15.2	21.2	21.2	15.2	15	28767	35681	37858	45223	45805	37815
1926910	73.3	26.7	14.7	20.7	24.1	28.4	12.1	17	32826	40594	48670	49235	50783	45093
1927000	75.4	24.6	12.3	19.3	33.3	22.8	12.3	18	35196	41224	46776	49495	50619	45374
1927060	92.0	-1.0	28.0	24.0	20.0	-1.0	24.0	15	27673	32160	35246	-1	42859	34467
1927240	93.8	-1.0	-1.0	-1.0	25.0	37.5	18.8	21	-1	-1	36148	41862	42164	38089
1927270	76.4	23.6	20.0	14.5	27.3	27.3	10.9	17	29330	36989	42175	42741	42695	39063
1927390	81.5	18.5	16.8	16.0	26.9	31.9	8.4	17	31325	38247	45266	50220	51028	43869
1927480	100.0	0.0	-1.0	-1.0	30.0	40.0	0.0	15	-1	-1	39667	49402	-2	41268
1927500	90.3	9.7	17.7	29.0	22.6	17.7	12.9	15	28959	32652	37464	41155	43314	35968
1927600	88.5	11.5	11.5	19.2	-1.0	38.5	23.1	20	33134	40669	-1	47995	51701	45545
1927810	100.0	0.0	30.0	30.0	-1.0	-1.0	-1.0	12	26748	28336	-1	-1	-1	31648
1927870	83.3	16.7	28.6	16.7	23.8	19.0	11.9	15	30327	34000	39235	46596	47289	38178
1927900	100.0	0.0	-1.0	0.0	42.9	-1.0	-1.0	16	-1	-2	35113	-1	-1	35219
1927960	83.3	16.7	-1.0	16.7	30.0	36.7	10.0	19	-1	32865	39638	44721	44289	40015
1927990	78.4	21.6	23.5	15.7	37.3	13.7	9.8	15	30494	36240	44717	50657	57266	42086
1928020	90.9	-1.0	36.4	36.4	13.6	-1.0	-1.0	10	26253	29497	34380	-1	-1	30129
1928050	87.5	12.5	16.7	37.5	16.7	-1.0	20.8	15	29690	34281	40755	-1	47381	38170
1928110	73.3	26.7	16.7	10.0	30.0	20.0	23.3	20	30345	35899	42475	45253	46959	41398
1928170	100.0	0.0	30.4	26.1	21.7	17.4	-1.0	12	26949	31436	37474	42898	-1	33866
1928200	87.5	-1.0	31.3	18.8	-1.0	25.0	-1.0	15	30640	33559	-1	37866	-1	35007
1928230	83.9	16.1	12.9	9.7	25.8	38.7	12.9	19	28598	36299	44191	46833	46125	42688
1928560	60.0	40.0	-1.0	0.0	50.0	-1.0	-1.0	20	-1	-2	42825	-1	-1	42683
1928680	65.0	35.0	31.3	16.7	26.3	16.7	9.2	13	33664	38147	47237	49615	52964	42402
1928710	80.0	20.0	-1.0	10.0	53.3	26.7	-1.0	17	-1	35441	44215	49821	-1	44022
1928980	85.4	14.6	25.0	35.4	16.7	14.6	8.3	13	29347	33750	40161	40647	39810	35228
1929010	92.5	7.5	37.5	10.0	25.0	15.0	12.5	13	30742	32293	38522	45540	47609	37170
1929100	87.5	12.5	16.7	16.7	33.3	25.0	-1.0	17	27352	29977	36879	39349	-1	34898
1929280	76.9	23.1	-1.0	11.5	23.1	42.3	15.4	21	-1	34084	38795	41605	45365	40021
1929310	63.8	36.2	13.8	20.7	31.0	23.3	11.2	17	31989	37362	45446	49042	48505	43097
1929490	71.4	28.6	23.8	11.9	38.1	19.0	7.1	14	26668	33436	39229	41549	42930	36255
1929580	90.0	10.0	33.3	-1.0	20.0	40.0	-1.0	16	28446	-1	38037	39353	-1	35083
1929640	72.7	27.3	45.5	0.0	-1.0	36.4	-1.0	15	30286	-2	-1	39007	-1	35333
1929730	95.2	-1.0	26.2	16.7	19.0	28.6	9.5	15	30999	34846	42245	45269	44044	39102
1929760	93.8	-1.0	12.5	18.8	31.3	31.3	-1.0	17	31978	33296	38491	43175	-1	38461
1930240	77.9	22.1	23.2	15.8	21.1	27.4	12.6	17	30480	36394	44435	48948	52179	42147
1930480	58.1	41.3	23.8	20.9	21.8	20.6	12.8	15	31917	38906	47727	52918	53551	43935
1930510	76.5	23.5	45.1	25.0	20.1	9.1	-1.0	9	34688	41061	50409	57114	-1	41677
1930540	71.7	28.3	15.2	15.2	32.3	23.2	14.1	17	32426	38155	48026	53580	53039	46166
1930560	78.0	22.0	9.8	22.0	31.7	22.0	14.6	17	26488	30229	35952	38498	41713	35175
1930630	91.6	8.4	13.7	22.1	22.1	27.4	14.7	18	32217	38077	45875	48180	49176	43399
1930720	90.3	9.7	32.3	-1.0	22.6	35.5	-1.0	16	25959	-1	34011	39626	-1	33504
1930750	80.9	17.0	31.9	17.0	27.7	10.6	12.8	13	30197	32799	40236	45541	46539	37135
1930780	93.0	7.0	16.3	37.2	23.3	18.6	-1.0	13	30124	35526	42519	44219	-1	38474
1930870	90.0	-1.0	25.0	20.0	15.0	-1.0	30.0	17	28699	31944	39086	-1	44540	37209
1930900	83.9	16.1	17.2	9.2	36.8	24.1	12.6	17	29440	38139	42724	49850	50839	42758
1930930	59.9	40.1	26.7	21.2	24.3	19.5	8.2	14	38099	42115	49859	58022	63999	47832
1930960	88.2	11.8	20.6	23.5	20.6	29.4	-1.0	16	30564	34070	41401	45361	-1	38667
1930990	86.4	13.6	33.3	24.2	19.7	7.6	15.2	12	31127	34109	40397	50500	50854	38132
1931020	66.7	33.3	-1.0	10.3	20.5	33.3	30.8	23	-1	33910	40963	47182	46003	43411
1931080	88.6	11.4	27.3	13.6	29.5	18.2	11.4	15	28088	31779	40012	45914	44571	37228
1931110	72.1	27.9	25.6	18.6	9.3	30.2	16.3	17	33482	34417	36899	41459	46800	38554
1931290	74.1	25.9	22.4	12.1	29.3	22.4	13.8	17	31267	35976	43801	46899	45556	40984
1931350	77.4	22.6	29.9	12.8	22.6	18.9	15.9	15	29556	38065	44883	49674	50842	41281
1931470	91.9	8.1	13.5	13.5	29.7	29.7	13.5	18	28838	35640	40606	42157	43547	39203
1931620	88.9	-1.0	33.3	16.7	-1.0	33.3	-1.0	15	28000	28447	-1	36979	-1	32549
1931680	85.3	14.7	30.9	17.6	14.7	20.6	16.2	15	29757	35870	43675	49233	49702	40119
1931800	80.0	20.0	12.0	24.0	22.0	30.0	12.0	17	31310	37795	43930	47267	46664	42272
1931830	76.7	23.3	23.3	-1.0	36.7	23.3	10.0	16	28434	-1	39549	43752	41530	37773
1931860	71.4	28.6	20.2	17.9	26.2	27.4	8.3	16	32297	39262	44683	48667	49508	42702
1931890	100.0	0.0	25.0	41.7	-1.0	-1.0	-1.0	13	26718	30813	-1	-1	-1	31983
1931920	77.4	22.6	16.1	19.4	32.3	16.1	16.1	16	29637	32317	40703	44201	46741	38833
1931950	76.5	23.5	11.8	20.6	26.5	35.3	-1.0	17	31372	36868	43360	44910	-1	41376
1932010	89.6	10.4	41.7	16.7	20.8	10.4	10.4	11	29843	36725	39933	46964	51240	37104
1999017	84.4	15.6	17.2	15.6	18.8	35.9	12.5	18	30876	36139	43094	45366	45165	40983
1999019	90.5	9.5	19.0	16.7	28.6	28.6	7.1	16	30248	34369	44207	46967	48188	40981
2000001	44.7	55.3	14.9	17.0	25.5	27.7	14.9	18	33647	38994	42104	50003	45362	42985
2000002	71.2	28.8	20.3	11.9	44.1	13.6	10.2	15	27863	31224	38662	43381	44121	36778
2000003	62.1	37.9	28.4	16.8	26.3	20.0	8.4	14	33128	35263	39708	45187	45226	38650
2000004	44.4	55.6	27.8	24.1	22.2	22.2	-1.0	13	32621	35743	38872	43056	-1	37545
2000005	75.0	25.0	23.2	12.5	28.6	28.6	7.1	16	33913	41016	42735	46009	47918	41778
2000006	56.7	43.3	16.4	14.9	32.8	20.9	14.9	18	31766	36577	39801	43506	45470	39621
2000007	73.7	26.3	13.2	10.5	34.2	15.8	26.3	20	29600	33050	36646	40233	45270	38176
2000012	81.8	18.2	-1.0	18.2	36.4	36.4	-1.0	18	-1	34450	34025	36144	-1	34782
2000013	80.0	-1.0	0.0	0.0	-1.0	-1.0	-1.0	25	-2	-2	-1	-1	-1	32634
2000014	76.7	23.3	34.9	16.3	20.9	14.0	14.0	14	29827	32571	36972	41338	43946	35346
2000015	64.2	35.8	18.5	20.5	29.8	24.5	6.6	15	33752	38078	43665	46066	49122	41630
2000016	44.6	55.4	18.5	16.9	29.2	24.6	10.8	17	28230	32178	40039	43365	44317	37808
2000017	74.2	25.8	16.7	18.2	27.3	30.3	7.6	17	31535	33937	39071	43170	45852	38637
2000020	84.6	-1.0	0.0	0.0	38.5	30.8	30.8	24	-2	-2	33280	36275	40925	36554
2000023	61.5	38.5	-1.0	0.0	38.5	26.9	26.9	22	-1	-2	37000	43489	46146	40829
2000028	70.0	30.0	7.5	10.0	30.0	30.0	22.5	21	29293	34033	37551	37060	40520	37100
2000029	61.1	38.9	-1.0	22.2	22.2	44.4	-1.0	18	-1	28013	31706	36772	-1	33265
2000030	59.6	40.4	8.5	14.9	19.1	36.2	21.3	21	28587	30508	35179	36849	38191	35167
2000046	-1.0	0.0	0.0	0.0	-1.0	0.0	0.0	-1	-2	-2	-1	-2	-2	-1
2003180	55.6	44.4	12.2	18.9	36.7	26.7	5.6	16	30245	34330	39565	48223	46009	40104
2003200	58.7	41.3	19.6	16.1	29.2	26.5	8.6	16	34148	36907	41866	48496	50153	42029
2003210	56.3	43.8	16.7	18.8	16.7	31.3	16.7	18	30723	34219	36539	41014	47285	38324
2003240	61.1	38.9	11.1	16.7	27.8	25.0	19.4	19	32776	32117	35041	39868	43720	37196
2003270	82.4	17.6	23.5	-1.0	29.4	17.6	17.6	16	27098	-1	34035	38352	41760	34279
2003300	58.5	41.5	23.4	12.8	34.0	17.0	12.8	16	34038	38118	40633	44134	44843	39902
2003360	50.7	49.3	22.6	25.3	32.1	14.9	5.0	13	35950	42167	47403	50730	52847	44253
2003390	62.1	37.9	21.2	19.7	24.2	18.2	16.7	16	32315	35483	38646	41673	45448	38364
2003430	61.5	38.5	30.8	38.5	-1.0	0.0	-1.0	12	30788	34539	-1	-2	-1	34729
2003450	69.7	30.3	29.8	19.1	22.5	19.1	9.6	14	33584	36862	41539	45767	45999	39511
2003480	65.9	34.1	29.5	25.0	25.0	18.2	-1.0	12	33558	33895	38273	43781	-1	37053
2003510	100.0	0.0	27.3	36.4	-1.0	-1.0	-1.0	13	31376	36594	-1	-1	-1	36368
2003540	50.0	50.0	28.3	20.8	22.5	16.7	11.7	14	31698	36426	40314	45504	45165	38494
